date,ADDED,SCAN_ADDED,DISCOVERED_ADDED
2026-05-12,0,0,0
2026-05-12,2,0,0
2026-05-12,2,0,0
2026-05-12,2,0,0
2026-05-13,2,0,0
2026-05-13,2,0,0
2026-05-13,2,0,0
2026-05-13,2,0,0
2026-05-14,2,0,0
2026-05-14,2,0,0
2026-05-14,2,0,0
2026-05-14,2,0,0
2026-05-15,2,0,0
2026-05-15,2,0,0
2026-05-15,2,0,0
2026-05-15,2,0,0
2026-05-16,2,0,0
2026-05-16,2,0,0
2026-05-16,2,0,0
2026-05-16,2,0,0
2026-05-17,2,0,0
2026-05-17,2,0,0
2026-05-17,2,0,0
2026-05-17,2,0,0
2026-05-18,2,0,0
2026-05-18,2,0,0
2026-05-18,2,0,0
2026-05-18,2,0,0
2026-05-19,2,0,0
2026-05-19,2,0,0
2026-05-19,2,0,0
2026-05-19,2,0,0
2026-05-20,2,0,0
2026-05-20,2,0,0
2026-05-20,2,0,0
2026-05-20,2,0,0
2026-05-21,2,0,0
2026-05-21,2,0,0
2026-05-21,2,0,0
2026-05-21,2,0,0
2026-05-22,2,0,0
2026-05-22,2,0,0
2026-05-22,2,0,0
2026-05-22,2,0,0
2026-05-23,2,0,0
2026-05-23,2,0,0
2026-05-23,2,0,0
2026-05-24,2,0,0
2026-05-24,2,0,0
2026-05-24,2,0,0
2026-05-24,2,0,0
2026-05-25,2,0,0
2026-05-25,2,0,0
2026-05-25,2,0,0
2026-05-25,2,0,0
2026-05-26,2,0,0
2026-05-26,2,0,0
2026-05-26,2,0,0
2026-05-26,2,0,0
2026-05-27,2,0,0
2026-05-27,2,0,0
2026-05-27,2,0,0
2026-05-27,2,0,0
2026-05-28,2,0,0
2026-05-28,2,0,0
2026-05-28,2,0,0
2026-05-28,2,0,0
2026-05-29,2,0,0
2026-05-29,2,0,0
2026-05-29,2,0,0
2026-05-29,2,0,0
2026-05-30,2,0,0
2026-05-30,2,0,0
2026-05-30,2,0,0
2026-05-30,2,0,0
2026-05-31,2,0,0
2026-05-31,2,0,0
2026-05-31,2,0,0
2026-05-31,2,0,0
